name,country,lat,lon,timezone,population,selection_reason
Brazzaville,Republic of the Congo,-4.26613,15.28318,Africa/Brazzaville,1982000,capital
Kinshasa,Democratic Republic of the Congo,-4.32758,15.31357,Africa/Kinshasa,16000000,mega-city
Dodoma,Tanzania,-6.17221,35.73947,Africa/Dar_es_Salaam,765179,capital
Jakarta,Indonesia,-6.21462,106.84513,Asia/Jakarta,8540121,mega-city
Dar es Salaam,Tanzania,-6.82349,39.26951,Africa/Dar_es_Salaam,5383728,mega-city
Surabaya,Indonesia,-7.24917,112.75083,Asia/Jakarta,3018022,mega-city
Luanda,Angola,-8.83682,13.23432,Africa/Luanda,2776168,capital
Port Moresby,Papua New Guinea,-9.47723,147.15089,Pacific/Port_Moresby,283733,capital
Lima,Peru,-12.04318,-77.02824,America/Lima,7737002,mega-city
Lilongwe,Malawi,-13.96692,33.78725,Africa/Blantyre,1115815,capital
Lusaka,Zambia,-15.40669,28.28713,Africa/Lusaka,2212301,capital
Brasília,Brazil,-15.77972,-47.92972,America/Sao_Paulo,2207718,capital
Harare,Zimbabwe,-17.82772,31.05337,Africa/Harare,1542813,capital
Antananarivo,Madagascar,-18.91368,47.53613,Indian/Antananarivo,1349501,capital
Sucre,Bolivia,-19.03332,-65.26274,America/La_Paz,224838,capital
Rio de Janeiro,Brazil,-22.90642,-43.18223,America/Sao_Paulo,6747815,mega-city
São Paulo,Brazil,-23.5475,-46.63611,America/Sao_Paulo,12400232,mega-city
Asunción,Paraguay,-25.28646,-57.647,America/Asuncion,1482200,capital
Pretoria,South Africa,-25.74486,28.18783,Africa/Johannesburg,2112693,capital
Maputo,Mozambique,-25.96553,32.58322,Africa/Maputo,1254837,capital
Johannesburg,South Africa,-26.20227,28.04363,Africa/Johannesburg,9418183,mega-city
Durban,South Africa,-29.8579,31.0292,Africa/Johannesburg,3338026,mega-city
Santiago,Chile,-33.45694,-70.64827,America/Santiago,4837295,mega-city
Sydney,Australia,-33.86785,151.20732,Australia/Sydney,5638830,mega-city
Cape Town,South Africa,-33.92584,18.42322,Africa/Johannesburg,4772846,mega-city
Buenos Aires,Argentina,-34.61315,-58.37723,America/Argentina/Buenos_Aires,2891082,capital
Canberra,Australia,-35.28346,149.12807,Australia/Sydney,367752,capital
Melbourne,Australia,-37.814,144.96332,Australia/Melbourne,5435590,mega-city
Christchurch,New Zealand,-43.53333,172.63333,Pacific/Auckland,419200,latitude-coverage
Punta Arenas,Chile,-53.16282,-70.90922,America/Punta_Arenas,117430,latitude-coverage
